titulo,endereco,condominio,area,banheiros,suite,vagasEstacionamento,preco
"Apartamento com 3 Quartos e 3 banheiros à Venda, 80 m² por R$ 730.000","Avenida Deputado Antônio Florêncio de Queiroz, 3335 - Ponta Negra, Natal - RN",R$ 650,80m²,3 banheiros     ,1 suíte,2 vagas,R$ 730.000
Alto da Boa Vista,"Rua Princesa Isabel, 816 - Cidade Alta, Natal - RN",,71m²,3 banheiros     ,1 suíte,2 vagas,R$ 340.000
"Apartamento com 2 Quartos e 2 banheiros à Venda, 60 m² por R$ 315.000","Rua Vereador Manoel Sátiro, 248 - Ponta Negra, Natal - RN",R$ 630,60m²,2 banheiros     ,1 suíte,1 vaga,R$ 315.000
"Apartamento com 3 Quartos e 4 banheiros à Venda, 94 m² por R$ 730.000","Avenida das Conchas, 2179 - Ponta Negra, Natal - RN",R$ 742,94m²,4 banheiros     ,3 suítes,2 vagas,R$ 730.000
"Apartamento com 3 Quartos e 4 banheiros à Venda, 145 m² por R$ 1.450.000","Rua Ceará Mirim, 1140 - Tirol, Natal - RN",R$ 1.101,145m²,4 banheiros     ,3 suítes,3 vagas,R$ 1.450.000
"Apartamento com 2 Quartos e 2 banheiros à Venda, 54 m² por R$ 250.000","Rua Doutor Múcio Galvão, 487 - Barro Vermelho, Natal - RN",R$ 510,54m²,2 banheiros     ,1 suíte,1 vaga,R$ 250.000
"Apartamento com 3 Quartos e 3 banheiros à Venda, 98 m² por R$ 640.000","Avenida Almirante Alexandrino de Alencar, 1320 - Tirol, Natal - RN",R$ 790,98m²,3 banheiros     ,1 suíte,2 vagas,R$ 640.000
"Cobertura com 3 Quartos e 6 banheiros à Venda, 271 m² por R$ 1.999.999","Rua Joaquim Fabrício, 233 - Petrópolis, Natal - RN",R$ 1.900,271m²,6 banheiros     ,3 suítes,3 vagas,R$ 1.999.999
Residencial Rosalía,"Rua Desembargador Carlos Augusto, 293 - Lagoa Nova, Natal - RN",,110m²,4 banheiros     ,3 suítes,2 vagas,R$ 773.000
"Casa com 3 Quartos e 4 banheiros à Venda, 214 m² por R$ 650.000","Rua Bacharel Francisco Menezes de Melo, 03 - Capim Macio, Natal - RN",,214m²,4 banheiros     ,1 suíte,2 vagas,R$ 650.000
"Apartamento com 4 Quartos e 6 banheiros à Venda, 260 m² por R$ 875.000","Rua Otávio Lamartine, 441 - Petrópolis, Natal - RN",R$ 2.100,260m²,6 banheiros     ,4 suítes,4 vagas,R$ 875.000
"Apartamento com 3 Quartos e 2 banheiros à Venda, 86 m² por R$ 300.000","Avenida Bernardo Vieira, 4114 - Lagoa Nova, Natal - RN",R$ 565,86m²,2 banheiros     ,1 suíte,1 vaga,R$ 300.000
"Flat com 2 Quartos e 1 banheiro à Venda, 52 m² por R$ 280.000","Rua das Algas, 2151 - Ponta Negra, Natal - RN",R$ 600,52m²,1 banheiro,,Não informado Solicitar,R$ 280.000
"Apartamento com 4 Quartos e 4 banheiros à Venda, 220 m² por R$ 678.000","Avenida Almirante Alexandrino de Alencar, 1354 - Tirol, Natal - RN",R$ 1.300,220m²,4 banheiros     ,2 suítes,2 vagas,R$ 678.000
"Casa com 3 Quartos e 2 banheiros à Venda, 149 m² por R$ 240.000","Travessa General Varela, 331 - CENTRO, Natal - RN",,149m²,2 banheiros     ,1 suíte,Não informado Solicitar,R$ 240.000
Norte Plaza Residencial,"Avenida Moema Tinoco da Cunha Lima, 885 - Pajuçara, Natal - RN",,41 a 44m²,1 banheiro,,1 vaga,R$ 151.490
"Imóvel Comercial com 25 Quartos e 20 banheiros à Venda, 736 m² por R$ 2.000.000","Rua Doutor Manoel Augusto Bezerra de Araújo, 180 - Ponta Negra, Natal - RN",,736m²,20 banheiros     ,15 suítes,Não informado Solicitar,R$ 2.000.000
"Cobertura com 2 Quartos e 2 banheiros à Venda, 114 m² por R$ 500.000","Rua Praia de Santa Rita, 2122 - Ponta Negra, Natal - RN",R$ 688,114m²,2 banheiros     ,1 suíte,1 vaga,R$ 500.000
"Casa com 7 Quartos e 8 banheiros à Venda, 600 m² por R$ 930.000","Rua Nova Redinha, 210 - Redinha, Natal - RN",,600m²,8 banheiros     ,3 suítes,8 vagas,R$ 930.000
"Prédio Comercial e 2 banheiros à Venda, 508 m² por R$ 800.000","Rua Olinto Meira, 1074 - Alecrim, Natal - RN",Não informado,508m²,2 banheiros,,1 vaga,R$ 800.000
"Apartamento com 4 Quartos e 5 banheiros à Venda, 223 m² por R$ 590.000","Rua Paulo Barros de Goes, 1925 - Lagoa Nova, Natal - RN",R$ 1.500,223m²,5 banheiros     ,4 suítes,3 vagas,R$ 590.000
"Apartamento com 2 Quartos e 2 banheiros à Venda, 54 m² por R$ 600.000","Avenida Engenheiro Roberto Freire, 4130 - Ponta Negra, Natal - RN",R$ 692,54m²,2 banheiros     ,2 suítes,1 vaga,R$ 600.000
"Casa com 3 Quartos e 3 banheiros à Venda, 200 m² por R$ 240.000","Rua Manoel Miranda, 47 - Alecrim, Natal - RN",,200m²,3 banheiros     ,2 suítes,2 vagas,R$ 240.000
"Lote/Terreno à Venda, 270 m² por R$ 600.000","Avenida Governador Sílvio Pedroza, 142 - Areia Preta, Natal - RN",Não informado,270m²,Não informado Solicitar,,Não informado Solicitar,R$ 600.000
"Casa com 4 Quartos e 2 banheiros à Venda, 200 m² por R$ 240.000","Avenida Deodoro da Fonseca, 295 - Petrópolis, Natal - RN",,200m²,2 banheiros     ,1 suíte,2 vagas,R$ 240.000
"Apartamento com 3 Quartos e 3 banheiros à Venda, 100 m² por R$ 420.000","Rua Professora Francisca Ivone Cavalcanti, 35 - Ponta Negra, Natal - RN",R$ 650,100m²,3 banheiros     ,1 suíte,2 vagas,R$ 420.000
"Apartamento com 3 Quartos e 3 banheiros à Venda, 80 m² por R$ 420.000","Avenida Amintas Barros, 1480 - Nossa Senhora de Nazaré, Natal - RN",Não informado,80m²,3 banheiros     ,3 suítes,2 vagas,R$ 420.000
"Apartamento com 3 Quartos e 3 banheiros à Venda, 95 m² por R$ 560.000","Rua Professora Francisca Ivone Cavalcanti, 35 - Ponta Negra, Natal - RN",R$ 605,95m²,3 banheiros     ,1 suíte,2 vagas,R$ 560.000
"Imóvel Comercial com 20 Quartos e 24 banheiros à Venda, 1001 m² por R$ 2.900.000","Rua Vereador Manoel Coringa de Lemos, 259 - Ponta Negra, Natal - RN",Não informado,1001m²,24 banheiros     ,20 suítes,Não informado Solicitar,R$ 2.900.000
"Sobrado com 3 Quartos e 3 banheiros à Venda, 172 m² por R$ 600.000","Rua Santa Vitória do Palmar, 4705 - Neópolis, Natal - RN",,172m²,3 banheiros     ,3 suítes,2 vagas,R$ 600.000
"Ponto Comercial à Venda, 1400 m² por R$ 1.900.000","Avenida Rio Branco, 697 - Cidade Alta, Natal - RN",Não informado,1400m²,Não informado Solicitar,,Não informado Solicitar,R$ 1.900.000
"Apartamento com 3 Quartos e 3 banheiros à Venda, 110 m² por R$ 480.000","Rua Professor Clementino Câmara - Barro Vermelho, Natal - RN",R$ 930,110m²,3 banheiros     ,2 suítes,2 vagas,R$ 480.000
"Cobertura com 6 Quartos e 7 banheiros à Venda, 400 m² por R$ 950.000","Rua Epitácio Andrade, 1420 - Barro Vermelho, Natal - RN",R$ 1.400,400m²,7 banheiros     ,5 suítes,3 vagas,R$ 950.000
"Prédio Comercial com 10 Quartos e 4 banheiros à Venda, 525 m² por R$ 650.000","Rua Princesa Isabel, 682 - Cidade Alta, Natal - RN",Não informado,525m²,4 banheiros,,Não informado Solicitar,R$ 650.000
"Apartamento com 3 Quartos e 4 banheiros à Venda, 109 m² por R$ 560.000","Rua Doutor José Gonçalves, 170 - Lagoa Nova, Natal - RN",Não informado,109m²,4 banheiros     ,2 suítes,2 vagas,R$ 560.000
"Apartamento com 2 Quartos e 2 banheiros à Venda, 58 m² por R$ 310.000","Rua Eletricista Elias Ferreira, 2600 - Candelária, Natal - RN",R$ 471,58m²,2 banheiros     ,1 suíte,1 vaga,R$ 310.000
"Casa com 3 Quartos e 2 banheiros à Venda, 100 m² por R$ 250.000","Avenida Governador José Varela, 102 - Capim Macio, Natal - RN",,100m²,2 banheiros     ,1 suíte,Não informado Solicitar,R$ 250.000
"Apartamento com 2 Quartos e 2 banheiros à Venda, 57 m² por R$ 290.000","Rua Antônio Madruga, 1959 - Capim Macio, Natal - RN",R$ 376,57m²,2 banheiros     ,1 suíte,2 vagas,R$ 290.000
"Apartamento com 3 Quartos e 3 banheiros à Venda, 98 m² por R$ 640.000","Avenida Almirante Alexandrino de Alencar, 1320 - Tirol, Natal - RN",R$ 550,98m²,3 banheiros     ,1 suíte,2 vagas,R$ 640.000
"Casa com 3 Quartos e 5 banheiros à Venda, 256 m² por R$ 659.000","Rua João Florêncio de Queiroz, 275 - Capim Macio, Natal - RN",,256m²,5 banheiros     ,3 suítes,2 vagas,R$ 659.000
"Apartamento com 4 Quartos e 6 banheiros à Venda, 220 m² por R$ 990.000","Rua Mipibu, 524 - Petrópolis, Natal - RN",R$ 2.300,220m²,6 banheiros     ,4 suítes,3 vagas,R$ 990.000
"Casa com 3 Quartos e 3 banheiros à Venda, 250 m² por R$ 330.000","Avenida Doutor José Francisco da Silva, 941 - Potengi, Natal - RN",,250m²,3 banheiros     ,1 suíte,2 vagas,R$ 330.000
"Apartamento com 2 Quartos e 1 banheiro à Venda, 55 m² por R$ 420.000","Avenida Deputado Antônio Florêncio de Queiroz, 2995 - Ponta Negra, Natal - RN",Não informado,55m²,1 banheiro     ,1 suíte,1 vaga,R$ 420.000
"Casa com 4 Quartos e 3 banheiros à Venda, 246 m² por R$ 350.000","Rua Patativas, 8063 - Pitimbu, Natal - RN",,246m²,3 banheiros     ,2 suítes,4 vagas,R$ 350.000
"Casa de Condomínio com 2 Quartos e 2 banheiros à Venda, 65 m² por R$ 175.000","Rua Maranata, 2295 - Planalto, Natal - RN",R$ 240,65m²,2 banheiros,,1 vaga,R$ 175.000
"Apartamento com 2 Quartos e 2 banheiros à Venda, 81 m² por R$ 269.890","Rua Doutor Paulo Viveiros, 557 - Petrópolis, Natal - RN",R$ 700,81m²,2 banheiros     ,2 suítes,1 vaga,R$ 269.890
"Casa de Condomínio com 2 Quartos e 2 banheiros à Venda, 85 m² por R$ 185.000","Ponta Negra, Natal - RN",R$ 150,85m²,2 banheiros,,1 vaga,R$ 185.000
"Casa com 3 Quartos e 2 banheiros à Venda, 105 m² por R$ 255.000","Rua Serra Macaé, 8090 - Pitimbu, Natal - RN",Não informado,105m²,2 banheiros     ,1 suíte,2 vagas,R$ 255.000
"Apartamento com 3 Quartos e 2 banheiros à Venda, 83 m² por R$ 393.999","Rua Maria Nazaré de Araújo, 259 - Capim Macio, Natal - RN",,83m²,2 banheiros     ,1 suíte,2 vagas,R$ 393.999
"Apartamento com 2 Quartos e 2 banheiros à Venda, 56 m² por R$ 280.000","Avenida Amintas Barros, 1420 - Lagoa Nova, Natal - RN",R$ 350,56m²,2 banheiros     ,1 suíte,2 vagas,R$ 280.000
"Apartamento com 3 Quartos e 4 banheiros à Venda, 101 m² por R$ 649.000","Avenida Deputado Antônio Florêncio de Queiroz, 3335 - Ponta Negra, Natal - RN",R$ 600,101m²,4 banheiros     ,2 suítes,2 vagas,R$ 649.000
"Apartamento com 2 Quartos e 2 banheiros à Venda, 70 m² por R$ 134.900","Rua Leonardo Drumond, 1 - Lagoa Nova, Natal - RN",R$ 420,70m²,2 banheiros     ,1 suíte,1 vaga,R$ 134.900
"Apartamento com 2 Quartos e 3 banheiros à Venda, 121 m² por R$ 767.000","Avenida Deputado Antônio Florêncio de Queiroz, 8856 - Ponta Negra, Natal - RN",Não informado,121m²,3 banheiros     ,2 suítes,2 vagas,R$ 767.000
"Apartamento com 2 Quartos e 2 banheiros à Venda, 71 m² por R$ 250.000","Areia Preta, Natal - RN",R$ 915,71m²,2 banheiros     ,1 suíte,1 vaga,R$ 250.000
"Apartamento com 3 Quartos e 4 banheiros à Venda, 140 m² por R$ 450.000","Rua Vila do Mar, 222 - Ponta Negra, Natal - RN",R$ 850,140m²,4 banheiros     ,2 suítes,2 vagas,R$ 450.000
"Apartamento com 3 Quartos e 3 banheiros à Venda, 143 m² por R$ 419.999","Rua Coronel Joaquim Manoel, 625 - Petrópolis, Natal - RN",R$ 850,143m²,3 banheiros     ,1 suíte,1 vaga,R$ 419.999
"Apartamento com 3 Quartos e 4 banheiros à Venda, 106 m² por R$ 539.000","Rua Tereza Campos, 2070 - Lagoa Nova, Natal - RN",R$ 830,106m²,4 banheiros     ,2 suítes,2 vagas,R$ 539.000
"Cobertura com 2 Quartos e 2 banheiros à Venda, 91 m² por R$ 1.132.000","Avenida Praia de Ponta Negra, 9028 - Ponta Negra, Natal - RN",Não informado,91m²,2 banheiros     ,1 suíte,1 vaga,R$ 1.132.000
"Apartamento com 3 Quartos e 3 banheiros à Venda, 116 m² por R$ 300.000","Avenida Governador Juvenal Lamartine, 978 - Tirol, Natal - RN",R$ 420,116m²,3 banheiros     ,1 suíte,1 vaga,R$ 300.000
"Apartamento com 2 Quartos e 2 banheiros à Venda, 51 m² por R$ 285.000","Rua Presbítero Porfírio Gomes da Silva, 1372 - Capim Macio, Natal - RN",Não informado,51m²,2 banheiros     ,1 suíte,1 vaga,R$ 285.000
"Apartamento com 1 Quarto e 1 banheiro à Venda, 46 m² por R$ 155.000","Avenida Presidente Café Filho - Praia do Meio, Natal - RN",Não informado,46m²,1 banheiro,,1 vaga,R$ 155.000
"Casa com 6 Quartos e 4 banheiros à Venda, 280 m² por R$ 450.000","Rua Aderbal de França, 1992 - Candelária, Natal - RN",Não informado,280m²,4 banheiros     ,2 suítes,2 vagas,R$ 450.000
"Apartamento com 4 Quartos e 3 banheiros à Venda, 101 m² por R$ 699.000","Avenida Deputado Antônio Florêncio de Queiroz, 3335 - Ponta Negra, Natal - RN",R$ 600,101m²,3 banheiros     ,2 suítes,2 vagas,R$ 699.000
"Apartamento com 3 Quartos e 2 banheiros à Venda, 76 m² por R$ 534.900","Rua Eduardo Gurgel, 1133 - Lagoa Nova, Natal - RN",R$ 850,76m²,2 banheiros     ,1 suíte,2 vagas,R$ 534.900
"Apartamento com 2 Quartos e 2 banheiros à Venda, 55 m² por R$ 229.000","Rua Joaquim Eduardo de Farias, 213 - Ponta Negra, Natal - RN",R$ 410,55m²,2 banheiros     ,1 suíte,1 vaga,R$ 229.000
"Apartamento com 2 Quartos e 2 banheiros à Venda, 50 m² por R$ 285.000","Rua Presbítero Porfírio Gomes da Silva, 1372 - Capim Macio, Natal - RN",R$ 60.012,50m²,2 banheiros     ,1 suíte,1 vaga,R$ 285.000
"Apartamento com 4 Quartos e 5 banheiros à Venda, 150 m² por R$ 980.000","Rua Jundiaí, 721 - Tirol, Natal - RN",R$ 958,150m²,5 banheiros     ,2 suítes,Não informado Solicitar,R$ 980.000
"Apartamento com 3 Quartos e 3 banheiros à Venda, 94 m² por R$ 390.000","Rua das Perdizes, 7979 - Pitimbu, Natal - RN",Não informado,94m²,3 banheiros     ,2 suítes,2 vagas,R$ 390.000
"Apartamento com 3 Quartos e 5 banheiros à Venda, 106 m² por R$ 480.000","Rua Jaguarari, 1170 - Barro Vermelho, Natal - RN",R$ 700,106m²,5 banheiros     ,3 suítes,2 vagas,R$ 480.000
"Apartamento com 3 Quartos e 4 banheiros à Venda, 110 m² por R$ 400.000","Rua Francisco Borges de Oliveira, 1577 - Lagoa Nova, Natal - RN",Não informado,110m²,4 banheiros,,2 vagas,R$ 400.000
"Apartamento com 3 Quartos e 3 banheiros à Venda, 78 m² por R$ 162.999","Rua Luciano Bahia, 1855 - Capim Macio, Natal - RN",R$ 530,78m²,3 banheiros     ,2 suítes,1 vaga,R$ 162.999
"Apartamento com 3 Quartos e 5 banheiros à Venda, 220 m² por R$ 1.100.000","Rua Mandacaru - Lagoa Nova, Natal - RN",Não informado,220m²,5 banheiros,,3 vagas,R$ 1.100.000
"Apartamento com 2 Quartos e 2 banheiros à Venda, 54 m² por R$ 250.000","Avenida Deputado Antônio Florêncio de Queiroz, 270 - Ponta Negra, Natal - RN",R$ 290,54m²,2 banheiros     ,1 suíte,1 vaga,R$ 250.000
"Apartamento com 3 Quartos e 3 banheiros à Venda, 92 m² por R$ 450.000","Rua Lúcia Viveiros, 649 - Neópolis, Natal - RN",R$ 513,92m²,3 banheiros     ,1 suíte,2 vagas,R$ 450.000
"Casa com 2 Quartos e 1 banheiro à Venda, 95 m² por R$ 250.000","Quintas, Natal - RN",,95m²,1 banheiro,,1 vaga,R$ 250.000
"Apartamento com 3 Quartos e 4 banheiros à Venda, 94 m² por R$ 575.000","Rua General Gustavo Cordeiro de Faria, 56 - Petrópolis, Natal - RN",R$ 590,94m²,4 banheiros     ,1 suíte,2 vagas,R$ 575.000
"Apartamento com 2 Quartos e 2 banheiros à Venda, 77 m² por R$ 350.000","Rua da Saudade, 905 - Morro Branco, Natal - RN",R$ 550,77m²,2 banheiros     ,1 suíte,2 vagas,R$ 350.000
"Apartamento com 3 Quartos e 5 banheiros à Venda, 165 m² por R$ 1.450.000","Rua Antídio de Azevedo - Lagoa Nova, Natal - RN",R$ 980,165m²,5 banheiros     ,3 suítes,3 vagas,R$ 1.450.000
"Apartamento com 3 Quartos e 3 banheiros à Venda, 94 m² por R$ 440.000","Rua Joaquim Victor de Hollanda - Lagoa Nova, Natal - RN",R$ 840,94m²,3 banheiros     ,1 suíte,2 vagas,R$ 440.000
"Apartamento com 2 Quartos e 2 banheiros à Venda, 55 m² por R$ 349.000","Rua Antônio Madruga, 1959 - Capim Macio, Natal - RN",R$ 344,55m²,2 banheiros     ,1 suíte,2 vagas,R$ 349.000
"Casa de Condomínio com 4 Quartos e 6 banheiros à Venda, 232 m² por R$ 849.999","Rua Alfredo Pegado Cortez, 4075 - Candelária, Natal - RN",R$ 1.600,232m²,6 banheiros     ,3 suítes,4 vagas,R$ 849.999
"Apartamento com 3 Quartos e 3 banheiros à Venda, 99 m² por R$ 515.000","Tirol, Natal - RN",R$ 791,99m²,3 banheiros     ,1 suíte,2 vagas,R$ 515.000
