titulo,endereco,condominio,area,banheiros,suite,vagasEstacionamento,preco
"Apartamento com 4 Quartos e 5 banheiros à Venda, 152 m² por R$ 1.045.000","Rua Ângelo Varela, 1130 - Tirol, Natal - RN",R$ 1.100,152m²,5 banheiros     ,3 suítes,3 vagas,R$ 1.045.000
"Apartamento com 3 Quartos e 4 banheiros à Venda, 108 m² por R$ 610.000","Lagoa Nova, Natal - RN",R$ 710,108m²,4 banheiros     ,2 suítes,2 vagas,R$ 610.000
"Apartamento com 2 Quartos e 2 banheiros à Venda, 55 m² por R$ 320.000","Rua Tereza Campos - Lagoa Nova, Natal - RN",R$ 500,55m²,2 banheiros,,1 vaga,R$ 320.000
"Apartamento com 2 Quartos e 2 banheiros à Venda, 60 m² por R$ 315.000","Ponta Negra, Natal - RN",R$ 630,60m²,2 banheiros     ,1 suíte,1 vaga,R$ 315.000
"Apartamento com 3 Quartos e 5 banheiros à Venda, 165 m² por R$ 1.680.000","Rua Henri Koster, 1035 - Tirol, Natal - RN",R$ 1.750,165m²,5 banheiros     ,3 suítes,3 vagas,R$ 1.680.000
"Apartamento com 2 Quartos e 1 banheiro à Venda, 45 m² por R$ 169.900","Rua Maranata, 0 - Planalto, Natal - RN",Não informado,45m²,1 banheiro,,1 vaga,R$ 169.900
"Apartamento com 4 Quartos e 2 banheiros à Venda, 185 m² por R$ 300.000","Rua Afrânio Peixoto - Barro Vermelho, Natal - RN",R$ 995,185m²,2 banheiros     ,1 suíte,1 vaga,R$ 300.000
"Apartamento com 3 Quartos e 3 banheiros à Venda, 97 m² por R$ 460.000","Capim Macio, Natal - RN",Não informado,97m²,3 banheiros     ,3 suítes,3 vagas,R$ 460.000
"Apartamento com 3 Quartos e 2 banheiros à Venda, 104 m² por R$ 469.000","Avenida Amintas Barros, 3680 - Lagoa Nova, Natal - RN",R$ 700,104m²,2 banheiros     ,1 suíte,2 vagas,R$ 469.000
"Apartamento com 2 Quartos e 2 banheiros à Venda, 56 m² por R$ 215.000","Rua Joaquim Eduardo de Farias, 213 - Ponta Negra, Natal - RN",R$ 400,56m²,2 banheiros     ,1 suíte,1 vaga,R$ 215.000
"Apartamento com 3 Quartos e 2 banheiros à Venda, 85 m² por R$ 210.000","Rua Capitão Abdon Nunes - Tirol, Natal - RN",R$ 875,85m²,2 banheiros     ,1 suíte,1 vaga,R$ 210.000
"Casa com 3 Quartos e 3 banheiros à Venda, 156 m² por R$ 330.000","Rua Alamanda, 3462 - Candelária, Natal - RN",Não informado,156m²,3 banheiros     ,1 suíte,4 vagas,R$ 330.000
"Flat com 1 Quarto e 1 banheiro à Venda, 33 m² por R$ 220.000","Avenida Engenheiro Roberto Freire, 4795 - Ponta Negra, Natal - RN",R$ 748,33m²,1 banheiro,,1 vaga,R$ 220.000
"Casa com 3 Quartos e 5 banheiros à Venda, 300 m² por R$ 530.000","Rua Coronel Luciano Saldanha, 0 - Capim Macio, Natal - RN",Não informado,300m²,5 banheiros     ,3 suítes,2 vagas,R$ 530.000
"Casa com 4 Quartos e 6 banheiros à Venda, 400 m² por R$ 800.000","Rua Eleusis Magnus Lopes Cardoso, 000 - Candelária, Natal - RN",Não informado,400m²,6 banheiros     ,4 suítes,4 vagas,R$ 800.000
"Casa de Condomínio com 5 Quartos e 6 banheiros à Venda, 750 m² por R$ 3.500.000","Rua Jaguarari, 4980 - Candelária, Natal - RN",R$ 1.600,750m²,6 banheiros     ,4 suítes,5 vagas,R$ 3.500.000
"Apartamento com 2 Quartos e 2 banheiros à Venda, 58 m² por R$ 380.000","Rua Açu, 520 - Tirol, Natal - RN",R$ 339,58m²,2 banheiros     ,1 suíte,1 vaga,R$ 380.000
"Apartamento com 4 Quartos e 5 banheiros à Venda, 220 m² por R$ 700.000","Rua Pinto Martins, 1000 - Areia Preta, Natal - RN",R$ 2.000,220m²,5 banheiros     ,4 suítes,3 vagas,R$ 700.000
"Apartamento com 2 Quartos e 2 banheiros à Venda, 60 m² por R$ 280.000","Rua do Golfinho, 350 - Ponta Negra, Natal - RN",R$ 330,60m²,2 banheiros     ,1 suíte,1 vaga,R$ 280.000
"Apartamento com 2 Quartos e 2 banheiros à Venda, 49 m² por R$ 285.000","Rua Presbítero Porfírio Gomes da Silva, 1372 - Capim Macio, Natal - RN",Não informado,49m²,2 banheiros     ,1 suíte,1 vaga,R$ 285.000
"Apartamento com 2 Quartos e 2 banheiros à Venda, 59 m² por R$ 375.000","Rua Presbítero Porfírio Gomes da Silva, 1568 - Capim Macio, Natal - RN",R$ 585,59m²,2 banheiros     ,1 suíte,1 vaga,R$ 375.000
"Apartamento com 2 Quartos e 1 banheiro à Venda, 55 m² por R$ 369.000","Rua das Algas, 2151 - Ponta Negra, Natal - RN",R$ 590,55m²,1 banheiro,,1 vaga,R$ 369.000
"Casa de Condomínio com 2 Quartos e 2 banheiros à Venda, 85 m² por R$ 205.900","Avenida Engenheiro Roberto Freire, 3206 - Ponta Negra, Natal - RN",Não informado,85m²,2 banheiros,,Não informado Solicitar,R$ 205.900
"Apartamento com 3 Quartos e 4 banheiros à Venda, 200 m² por R$ 650.000","Rua Dona Maria Câmara, 3558 - Capim Macio, Natal - RN",R$ 1.300,200m²,4 banheiros     ,3 suítes,2 vagas,R$ 650.000
"Apartamento com 3 Quartos e 2 banheiros à Venda, 77 m² por R$ 300.000","Candelária, Natal - RN",Não informado,77m²,2 banheiros     ,1 suíte,2 vagas,R$ 300.000
"Casa com 4 Quartos e 3 banheiros à Venda, 130 m² por R$ 275.000","Alameda Professora Angélica de Almeida Moura, 2829 - Neópolis, Natal - RN",,130m²,3 banheiros     ,1 suíte,1 vaga,R$ 275.000
"Casa com 5 Quartos e 6 banheiros à Venda, 480 m² por R$ 840.000","Lagoa Nova, Natal - RN",,480m²,6 banheiros     ,3 suítes,3 vagas,R$ 840.000
"Casa de Condomínio com 5 Quartos e 7 banheiros à Venda, 425 m² por R$ 3.500.000","Rua Alfredo Dias de Figueiredo, 1249 - Ponta Negra, Natal - RN",R$ 700,425m²,7 banheiros     ,5 suítes,6 vagas,R$ 3.500.000
"Apartamento com 3 Quartos e 3 banheiros à Venda, 96 m² por R$ 650.000","Avenida Almirante Alexandrino de Alencar, 1320 - Tirol, Natal - RN",R$ 550,96m²,3 banheiros     ,1 suíte,2 vagas,R$ 650.000
"Cobertura com 5 Quartos e 6 banheiros à Venda, 200 m² por R$ 1.600.000","Rua Padre João Damasceno, 1492 - Lagoa Nova, Natal - RN",R$ 850,200m²,6 banheiros     ,4 suítes,3 vagas,R$ 1.600.000
"Apartamento com 2 Quartos e 2 banheiros à Venda, 55 m² por R$ 295.000","Rua Francisco Gurgel - Ponta Negra, Natal - RN",R$ 600,55m²,2 banheiros     ,1 suíte,1 vaga,R$ 295.000
"Apartamento com 3 Quartos e 3 banheiros à Venda, 92 m² por R$ 430.000","Rua Lúcia Viveiros, 649 - Neópolis, Natal - RN",R$ 555,92m²,3 banheiros     ,1 suíte,2 vagas,R$ 430.000
"Apartamento com 3 Quartos e 3 banheiros à Venda, 78 m² por R$ 280.000","Rua Luciano Bahia, 1855 - Capim Macio, Natal - RN",R$ 530,78m²,3 banheiros     ,2 suítes,1 vaga,R$ 280.000
"Apartamento com 3 Quartos e 4 banheiros à Venda, 130 m² por R$ 1.250.000","Rua Apodi, 421 - Tirol, Natal - RN",R$ 720,130m²,4 banheiros     ,3 suítes,3 vagas,R$ 1.250.000
"Apartamento com 3 Quartos e 2 banheiros à Venda, 75 m² por R$ 349.900","Avenida Interventor Mário Câmara, 2038 - Dix-sept Rosado, Natal - RN",Não informado,75m²,2 banheiros     ,2 suítes,2 vagas,R$ 349.900
"Apartamento com 3 Quartos e 4 banheiros à Venda, 220 m² por R$ 730.000","Rua Dom José Tomaz, 1040 - Tirol, Natal - RN",R$ 1.850,220m²,4 banheiros     ,3 suítes,2 vagas,R$ 730.000
"Apartamento com 2 Quartos e 1 banheiro à Venda, 55 m² por R$ 75.000","Rua Construtor Severino Bezerra, 970 - Redinha, Natal - RN",R$ 210,55m²,1 banheiro,,1 vaga,R$ 75.000
"Apartamento com 3 Quartos e 2 banheiros à Venda, 90 m² por R$ 580.000","Rua Doutor José Bezerra, 70 - Barro Vermelho, Natal - RN",R$ 545,90m²,2 banheiros     ,1 suíte,2 vagas,R$ 580.000
"Apartamento com 3 Quartos e 3 banheiros à Venda, 125 m² por R$ 645.000","Rua Jaguarari, 4985 - Candelária, Natal - RN",R$ 650,125m²,3 banheiros     ,2 suítes,2 vagas,R$ 645.000
"Casa com 3 Quartos e 2 banheiros à Venda, 187 m² por R$ 265.000","Rua São Leopoldo, 22 - Cidade da Esperança, Natal - RN",,187m²,2 banheiros     ,1 suíte,2 vagas,R$ 265.000
"Apartamento com 3 Quartos e 2 banheiros à Venda, 71 m² por R$ 250.000","Rua Teófilo Brandão, 147 - Areia Preta, Natal - RN",R$ 915,71m²,2 banheiros     ,1 suíte,2 vagas,R$ 250.000
"Apartamento com 3 Quartos e 3 banheiros à Venda, 94 m² por R$ 415.000","Rua João das Estivas, 1517 - Barro Vermelho, Natal - RN",R$ 800,94m²,3 banheiros     ,1 suíte,2 vagas,R$ 415.000
"Apartamento com 3 Quartos e 3 banheiros à Venda, 110 m² por R$ 715.000","Avenida Almirante Alexandrino de Alencar, 1362 - Tirol, Natal - RN",R$ 850,110m²,3 banheiros     ,2 suítes,2 vagas,R$ 715.000
"Apartamento com 4 Quartos e 5 banheiros à Venda, 256 m² por R$ 1.050.000","Avenida Rodrigues Alves - Tirol, Natal - RN",R$ 2.200,256m²,5 banheiros,,3 vagas,R$ 1.050.000
"Lote/Terreno à Venda, 459 m² por R$ 500.000","Rua Alfredo Dias de Figueiredo, 1249 - Ponta Negra, Natal - RN",R$ 600,459m²,Não informado Solicitar,,Não informado Solicitar,R$ 500.000
"Apartamento com 4 Quartos e 4 banheiros à Venda, 170 m² por R$ 529.000","Rua José Ovídio do Vale, 1914 - Morro Branco, Natal - RN",R$ 1.500,170m²,4 banheiros     ,3 suítes,2 vagas,R$ 529.000
"Apartamento com 4 Quartos e 3 banheiros à Venda, 120 m² por R$ 650.000","Rua Ana Néri, 351 - Petrópolis, Natal - RN",Não informado,120m²,3 banheiros     ,1 suíte,2 vagas,R$ 650.000
"Apartamento com 2 Quartos e 2 banheiros à Venda, 54 m² por R$ 200.000","Rua Joaquim Eduardo de Farias - Ponta Negra, Natal - RN",Não informado,54m²,2 banheiros     ,1 suíte,1 vaga,R$ 200.000
"Apartamento com 3 Quartos e 3 banheiros à Venda, 101 m² por R$ 700.000","Avenida Deputado Antônio Florêncio de Queiroz, 1500 - Ponta Negra, Natal - RN",R$ 550,101m²,3 banheiros     ,2 suítes,2 vagas,R$ 700.000
"Cobertura com 3 Quartos e 4 banheiros à Venda, 215 m² por R$ 1.499.000","Rua Padre João Damasceno, 1294 - Lagoa Nova, Natal - RN",Não informado,215m²,4 banheiros     ,3 suítes,3 vagas,R$ 1.499.000
"Cobertura com 4 Quartos e 4 banheiros à Venda, 420 m² por R$ 4.200.000","Avenida Governador Sílvio Pedroza, 246 - Areia Preta, Natal - RN",R$ 3.400,420m²,4 banheiros     ,4 suítes,5 vagas,R$ 4.200.000
"Casa com 4 Quartos e 3 banheiros à Venda, 260 m² por R$ 394.900","Rua José Pinto Júnior, 7755 - Pitimbu, Natal - RN",Não informado,260m²,3 banheiros     ,1 suíte,4 vagas,R$ 394.900
"Apartamento com 3 Quartos e 3 banheiros à Venda, 155 m² por R$ 650.000","Avenida Xavier da Silveira, 1773 - Morro Branco, Natal - RN",R$ 1.250,155m²,3 banheiros     ,1 suíte,2 vagas,R$ 650.000
"Apartamento com 3 Quartos e 2 banheiros à Venda, 85 m² por R$ 650.000","Rua Américo Soares Wanderley, 1856 - Capim Macio, Natal - RN",R$ 600,85m²,2 banheiros     ,2 suítes,2 vagas,R$ 650.000
"Casa com 4 Quartos e 5 banheiros à Venda, 140 m² por R$ 435.000","Rua Minas Novas, 300 - Neópolis, Natal - RN",R$ 420,140m²,5 banheiros     ,3 suítes,2 vagas,R$ 435.000
"Apartamento com 4 Quartos e 6 banheiros à Venda, 503 m² por R$ 5.000.000","Rua Doutor Manoel Dantas, 516 - Petrópolis, Natal - RN",R$ 3.300,503m²,6 banheiros     ,4 suítes,4 vagas,R$ 5.000.000
"Apartamento com 3 Quartos e 1 banheiro à Venda, 88 m² por R$ 744.376","Rua Capitão Abdon Nunes, 790 - Tirol, Natal - RN",R$ 880,88m²,1 banheiro     ,2 suítes,2 vagas,R$ 744.376
"Casa com 3 Quartos e 3 banheiros à Venda, 350 m² por R$ 360.000","Rua Marechal Anacleto de Lima, 00 - Nossa Senhora de Nazaré, Natal - RN",Não informado,350m²,3 banheiros     ,1 suíte,3 vagas,R$ 360.000
"Apartamento com 3 Quartos e 3 banheiros à Venda, 170 m² por R$ 350.001","Avenida Hermes da Fonseca, 504 - Petrópolis, Natal - RN",R$ 1.151,170m²,3 banheiros     ,1 suíte,2 vagas,R$ 350.001
"Apartamento com 4 Quartos e 4 banheiros à Venda, 178 m² por R$ 355.000","Rua Francisco Borges de Oliveira, 1288 - Lagoa Nova, Natal - RN",Não informado,178m²,4 banheiros     ,2 suítes,2 vagas,R$ 355.000
"Apartamento com 4 Quartos e 3 banheiros à Venda, 101 m² por R$ 840.000","Avenida Deputado Antônio Florêncio de Queiroz, 3335 - Ponta Negra, Natal - RN",R$ 650,101m²,3 banheiros     ,3 suítes,2 vagas,R$ 840.000
"Casa com 4 Quartos e 6 banheiros à Venda, 400 m² por R$ 1.110.000","Avenida Governador José Varela, 2933 - Capim Macio, Natal - RN",Não informado,400m²,6 banheiros     ,4 suítes,3 vagas,R$ 1.110.000
"Casa com 6 Quartos e 7 banheiros à Venda, 235 m² por R$ 600.000","Rua Barra do Rio, 2182 - Ponta Negra, Natal - RN",Não informado,235m²,7 banheiros     ,6 suítes,6 vagas,R$ 600.000
"Apartamento com 2 Quartos e 2 banheiros à Venda, 54 m² por R$ 260.000","Rua José Mauro de Vasconcelos, 1778 - Capim Macio, Natal - RN",R$ 500,54m²,2 banheiros     ,1 suíte,1 vaga,R$ 260.000
"Apartamento com 3 Quartos e 4 banheiros à Venda, 138 m² por R$ 950.000","Avenida Rodrigues Alves, 1115 - Tirol, Natal - RN",R$ 1.100,138m²,4 banheiros     ,3 suítes,2 vagas,R$ 950.000
"Imóvel Comercial com 21 Quartos e 25 banheiros à Venda, 800 m² por R$ 2.600.000","Ponta Negra, Natal - RN",,800m²,25 banheiros     ,21 suítes,Não informado Solicitar,R$ 2.600.000
"Consultório e 1 banheiro à Venda, 25 m² por R$ 600.000","Rua Coronel Auris Coelho, 1868 - Lagoa Nova, Natal - RN",R$ 412,25m²,1 banheiro,,1 vaga,R$ 600.000
"Apartamento com 4 Quartos e 1 banheiro à Venda, 208 m² por R$ 2.100.000","Avenida Prudente de Morais, 1044 - Tirol, Natal - RN",R$ 1.200,208m²,1 banheiro     ,4 suítes,4 vagas,R$ 2.100.000
"Apartamento com 2 Quartos e 2 banheiros à Venda, 58 m² por R$ 190.000","Rua da Bronzita, 467 - Lagoa Nova, Natal - RN",R$ 350,58m²,2 banheiros     ,2 suítes,1 vaga,R$ 190.000
"Casa com 3 Quartos e 3 banheiros à Venda, 189 m² por R$ 910.000","Rua Neuza Farache, 1882 - Capim Macio, Natal - RN",Não informado,189m²,3 banheiros     ,3 suítes,3 vagas,R$ 910.000
"Apartamento com 4 Quartos e 5 banheiros à Venda, 282 m² por R$ 2.749.000","Avenida Governador Sílvio Pedroza, 1500 - Areia Preta, Natal - RN",R$ 2.300,282m²,5 banheiros     ,4 suítes,4 vagas,R$ 2.749.000
"Apartamento com 2 Quartos e 2 banheiros à Venda, 76 m² por R$ 180.000","Rua Ilce Marinho, 258 - Capim Macio, Natal - RN",R$ 460,76m²,2 banheiros     ,1 suíte,1 vaga,R$ 180.000
"Flat com 1 Quarto e 1 banheiro à Venda, 23 m² por R$ 219.000","Avenida Engenheiro Roberto Freire, 4848 - Ponta Negra, Natal - RN",R$ 420,23m²,1 banheiro     ,1 suíte,1 vaga,R$ 219.000
"Apartamento com 3 Quartos e 3 banheiros à Venda, 85 m² por R$ 655.000","Rua Américo Soares Wanderley, 1856 - Capim Macio, Natal - RN",R$ 600,85m²,3 banheiros     ,2 suítes,2 vagas,R$ 655.000
"Cobertura com 4 Quartos e 5 banheiros à Venda, 200 m² por R$ 1.600.000","Rua Padre João Damasceno, 1492 - Lagoa Nova, Natal - RN",R$ 850,200m²,5 banheiros     ,3 suítes,3 vagas,R$ 1.600.000
"Apartamento com 3 Quartos e 3 banheiros à Venda, 100 m² por R$ 220.000","Rua José Aurino da Rocha, 2255 - Lagoa Nova, Natal - RN",R$ 430,100m²,3 banheiros     ,2 suítes,Não informado Solicitar,R$ 220.000
"Apartamento com 3 Quartos e 2 banheiros à Venda, 76 m² por R$ 275.000","Tirol, Natal - RN",R$ 660,76m²,2 banheiros     ,1 suíte,1 vaga,R$ 275.000
"Ponto Comercial com 1 Quarto e 1 banheiro à Venda, 47 m² por R$ 400.000","Avenida Rodrigues Alves, 800 - Tirol, Natal - RN",Não informado,47m²,1 banheiro     ,1 suíte,1 vaga,R$ 400.000
"Apartamento com 2 Quartos e 2 banheiros à Venda, 60 m² por R$ 130.000","Rua Walter Duarte Pereira, 1548 - Capim Macio, Natal - RN",Não informado,60m²,2 banheiros,,2 vagas,R$ 130.000
"Casa com 4 Quartos e 4 banheiros à Venda, 442 m² por R$ 440.000","Candelária, Natal - RN",Não informado,442m²,4 banheiros     ,1 suíte,3 vagas,R$ 440.000
"Casa de Condomínio com 3 Quartos e 5 banheiros à Venda, 331 m² por R$ 1.780.000","Rua Júlio César de Andrade - Ponta Negra, Natal - RN",R$ 890,331m²,5 banheiros     ,3 suítes,4 vagas,R$ 1.780.000
"Apartamento com 2 Quartos e 1 banheiro à Venda, 79 m² por R$ 578.842","Avenida Deputado Antônio Florêncio de Queiroz, 3335 - Ponta Negra, Natal - RN",R$ 450,79m²,1 banheiro     ,1 suíte,2 vagas,R$ 578.842
"Apartamento com 2 Quartos e 2 banheiros à Venda, 50 m² por R$ 210.000","Rua Joaquim Fabrício, 266 - Petrópolis, Natal - RN",R$ 750,50m²,2 banheiros,,1 vaga,R$ 210.000
