titulo,endereco,condominio,area,banheiros,suite,vagasEstacionamento,preco
"Imóvel Comercial à Venda, 300 m² por R$ 1.000.000","Lagoa Nova, Natal - RN",Não informado,300m²,Não informado Solicitar,,Não informado Solicitar,R$ 1.000.000
"Apartamento com 3 Quartos e 2 banheiros à Venda, 80 m² por R$ 280.000","Lagoa Seca, Natal - RN",R$ 350,80m²,2 banheiros     ,1 suíte,2 vagas,R$ 280.000
"Casa com 4 Quartos e 5 banheiros à Venda, 375 m² por R$ 1.390.000","Rua Romualdo Galvão, 2050 - Lagoa Nova, Natal - RN",R$ 625,375m²,5 banheiros     ,4 suítes,4 vagas,R$ 1.390.000
"Cobertura com 2 Quartos e 2 banheiros à Venda, 121 m² por R$ 765.978","Avenida Deputado Antônio Florêncio de Queiroz, 2995 - Ponta Negra, Natal - RN",R$ 362,121m²,2 banheiros     ,1 suíte,1 vaga,R$ 765.978
"Apartamento com 2 Quartos e 2 banheiros à Venda, 57 m² por R$ 360.000","Rua Vereador Manoel Sátiro, 248 - Ponta Negra, Natal - RN",R$ 720,57m²,2 banheiros     ,1 suíte,1 vaga,R$ 360.000
"Casa de Condomínio com 3 Quartos e 3 banheiros à Venda, 97 m² por R$ 469.900","Rua da Campina, 86 - Ponta Negra, Natal - RN",Não informado,97m²,3 banheiros     ,2 suítes,1 vaga,R$ 469.900
"Apartamento com 2 Quartos e 2 banheiros à Venda, 70 m² por R$ 170.000","Rua Ataulfo Alves - Candelária, Natal - RN",R$ 600,70m²,2 banheiros,,1 vaga,R$ 170.000
"Cobertura com 2 Quartos e 2 banheiros à Venda, 105 m² por R$ 900.000","Avenida Estrela do Mar, 2147 - Ponta Negra, Natal - RN",Não informado,105m²,2 banheiros     ,1 suíte,2 vagas,R$ 900.000
"Apartamento com 2 Quartos e 1 banheiro à Venda, 59 m² por R$ 230.000","Rua Aurélio Pinheiro, 637 - Barro Vermelho, Natal - RN",R$ 450,59m²,1 banheiro     ,1 suíte,1 vaga,R$ 230.000
"Casa com 3 Quartos e 4 banheiros à Venda, 766 m² por R$ 2.000.000","Ponta Negra, Natal - RN",,766m²,4 banheiros     ,1 suíte,4 vagas,R$ 2.000.000
"Apartamento com 3 Quartos e 3 banheiros à Venda, 79 m² por R$ 569.000","Avenida Deputado Antônio Florêncio de Queiroz, 3335 - Ponta Negra, Natal - RN",R$ 600,79m²,3 banheiros     ,1 suíte,2 vagas,R$ 569.000
"Apartamento com 2 Quartos e 1 banheiro à Venda, 80 m² por R$ 220.000","Rua Pastor Gabino Brelaz, 1419 - Capim Macio, Natal - RN",R$ 500,80m²,1 banheiro     ,1 suíte,1 vaga,R$ 220.000
"Apartamento com 2 Quartos e 2 banheiros à Venda, 59 m² por R$ 419.990","Avenida Deputado Antônio Florêncio de Queiroz, 2995 - Ponta Negra, Natal - RN",R$ 462,59m²,2 banheiros     ,1 suíte,1 vaga,R$ 419.990
"Flat com 1 Quarto e 1 banheiro à Venda, 34 m² por R$ 290.000","Rua Altemar Dutra, 4795 - Ponta Negra, Natal - RN",R$ 748,34m²,1 banheiro,,1 vaga,R$ 290.000
"Apartamento com 3 Quartos e 5 banheiros à Venda, 182 m² por R$ 650.000","Avenida Campos Sales, 855 - Tirol, Natal - RN",R$ 1.200,182m²,5 banheiros     ,3 suítes,2 vagas,R$ 650.000
"Apartamento com 3 Quartos e 3 banheiros à Venda, 113 m² por R$ 345.000","Rua Alberto Silva, 1375 - Tirol, Natal - RN",Não informado,113m²,3 banheiros     ,1 suíte,1 vaga,R$ 345.000
"Apartamento com 3 Quartos e 1 banheiro à Venda, 75 m² por R$ 420.000","Rua Eduardo Gurgel - Lagoa Nova, Natal - RN",R$ 620,75m²,1 banheiro     ,1 suíte,2 vagas,R$ 420.000
"Apartamento com 2 Quartos e 2 banheiros à Venda, 57 m² por R$ 259.990","Vila Progresso, 1350 - Barro Vermelho, Natal - RN",R$ 403,57m²,2 banheiros     ,1 suíte,1 vaga,R$ 259.990
"Apartamento com 3 Quartos e 3 banheiros à Venda, 160 m² por R$ 389.000","Avenida Governador Tarcísio de Vasconcelos Maia, 111 - Candelária, Natal - RN",R$ 1.040,160m²,3 banheiros     ,2 suítes,2 vagas,R$ 389.000
"Casa com 4 Quartos e 6 banheiros à Venda, 585 m² por R$ 1.599.990","Rua Professor Bilac de Farias, 1816 - Cidade Jardim, Natal - RN",Não informado,585m²,6 banheiros     ,4 suítes,6 vagas,R$ 1.599.990
"Flat com 2 Quartos e 2 banheiros à Venda, 59 m² por R$ 295.000","Avenida das Conchas, 2149 - Ponta Negra, Natal - RN",R$ 1.200,59m²,2 banheiros     ,1 suíte,1 vaga,R$ 295.000
"Flat com 2 Quartos e 2 banheiros à Venda, 101 m² por R$ 800.000","Rua Pedro Fonseca Filho, 45 - Ponta Negra, Natal - RN",Não informado,101m²,2 banheiros     ,1 suíte,1 vaga,R$ 800.000
"Apartamento com 4 Quartos e 6 banheiros à Venda, 480 m² por R$ 6.000.000","Avenida Presidente Getúlio Vargas, 544 - Petrópolis, Natal - RN",R$ 3.000,480m²,6 banheiros     ,4 suítes,5 vagas,R$ 6.000.000
"Apartamento com 3 Quartos e 3 banheiros à Venda, 105 m² por R$ 799.999","Rua Trairi, 798 - Petrópolis, Natal - RN",R$ 520,105m²,3 banheiros     ,1 suíte,2 vagas,R$ 799.999
"Apartamento com 3 Quartos e 2 banheiros à Venda, 85 m² por R$ 290.000","Avenida Hermes da Fonseca, 409 - Petrópolis, Natal - RN",R$ 400,85m²,2 banheiros     ,1 suíte,1 vaga,R$ 290.000
"Apartamento com 3 Quartos e 1 banheiro à Venda, 98 m² por R$ 455.000","Rua Desembargador José Gomes da Costa - Capim Macio, Natal - RN",Não informado,98m²,1 banheiro     ,1 suíte,2 vagas,R$ 455.000
"Apartamento com 2 Quartos e 2 banheiros à Venda, 67 m² por R$ 349.000","Avenida Senador Salgado Filho - Neópolis, Natal - RN",R$ 384,67m²,2 banheiros     ,1 suíte,1 vaga,R$ 349.000
"Flat com 2 Quartos e 2 banheiros à Venda, 60 m² por R$ 315.000","Rua Vereador Manoel Sátiro, 248 - Ponta Negra, Natal - RN",R$ 750,60m²,2 banheiros     ,1 suíte,1 vaga,R$ 315.000
"Casa com 2 Quartos e 1 banheiro à Venda, 70 m² por R$ 110.000","Rua Santa Luzia - Ponta Negra, Natal - RN",Não informado,70m²,1 banheiro,,2 vagas,R$ 110.000
"Apartamento com 4 Quartos e 6 banheiros à Venda, 270 m² por R$ 1.900.000","Avenida Governador Sílvio Pedroza, 232 - Areia Preta, Natal - RN",R$ 1.900,270m²,6 banheiros     ,4 suítes,3 vagas,R$ 1.900.000
"Casa com 4 Quartos e 2 banheiros à Venda, 180 m² por R$ 350.000","Rua Lago da Pedra, 989 - Pitimbu, Natal - RN",,180m²,2 banheiros     ,1 suíte,4 vagas,R$ 350.000
"Apartamento com 2 Quartos e 2 banheiros à Venda, 59 m² por R$ 480.000","Avenida Deputado Antônio Florêncio de Queiroz, 2995 - Ponta Negra, Natal - RN",Não informado,59m²,2 banheiros     ,1 suíte,1 vaga,R$ 480.000
"Casa com 3 Quartos e 2 banheiros à Venda, 161 m² por R$ 123.000","Potengi, Natal - RN",Não informado,161m²,2 banheiros     ,1 suíte,1 vaga,R$ 123.000
"Apartamento com 3 Quartos e 1 banheiro à Venda, 136 m² por R$ 850.000","Rua Açu - Tirol, Natal - RN",R$ 1.085,136m²,1 banheiro     ,2 suítes,2 vagas,R$ 850.000
"Apartamento com 3 Quartos e 4 banheiros à Venda, 160 m² por R$ 1.090.000","Avenida Nascimento de Castro, 2455 - Lagoa Nova, Natal - RN",R$ 750,160m²,4 banheiros     ,3 suítes,3 vagas,R$ 1.090.000
"Cobertura com 3 Quartos e 3 banheiros à Venda, 185 m² por R$ 550.000","Pitimbu, Natal - RN",R$ 887,185m²,3 banheiros     ,1 suíte,2 vagas,R$ 550.000
"Casa com 4 Quartos e 6 banheiros à Venda, 316 m² por R$ 560.000","Travessa São Cristóvão, 1675 - Lagoa Nova, Natal - RN",,316m²,6 banheiros     ,4 suítes,5 vagas,R$ 560.000
"Apartamento com 3 Quartos e 3 banheiros à Venda, 94 m² por R$ 470.000","Lagoa Nova, Natal - RN",R$ 840,94m²,3 banheiros     ,1 suíte,2 vagas,R$ 470.000
"Apartamento com 3 Quartos e 3 banheiros à Venda, 140 m² por R$ 250.000","Rua Industrial João Motta - Capim Macio, Natal - RN",R$ 500,140m²,3 banheiros     ,1 suíte,2 vagas,R$ 250.000
"Apartamento com 3 Quartos e 2 banheiros à Venda, 76 m² por R$ 285.000","Rua Adauto Câmara, 1298 - Barro Vermelho, Natal - RN",R$ 650,76m²,2 banheiros     ,1 suíte,1 vaga,R$ 285.000
"Apartamento com 2 Quartos e 2 banheiros à Venda, 71 m² por R$ 150.000","Rua Marcos Augusto Teixeira de Carvalho Filho, 2815 - Planalto, Natal - RN",R$ 245,71m²,2 banheiros     ,1 suíte,1 vaga,R$ 150.000
"Apartamento com 1 Quarto e 1 banheiro à Venda, 60 m² por R$ 200.000","Rua Potengi, 521 - Petrópolis, Natal - RN",Não informado,60m²,1 banheiro     ,1 suíte,1 vaga,R$ 200.000
"Casa com 2 Quartos e 2 banheiros à Venda, 80 m² por R$ 185.000","Rua Manoel Congo - Ponta Negra, Natal - RN",Não informado,80m²,2 banheiros,,1 vaga,R$ 185.000
"Apartamento com 4 Quartos e 4 banheiros à Venda, 164 m² por R$ 1.400.000","Rua Antídio de Azevedo - Lagoa Nova, Natal - RN",R$ 900,164m²,4 banheiros,,3 vagas,R$ 1.400.000
"Apartamento com 2 Quartos e 2 banheiros à Venda, 70 m² por R$ 150.000","Avenida dos Ipês - Capim Macio, Natal - RN",R$ 150,70m²,2 banheiros,,Não informado Solicitar,R$ 150.000
"Casa com 5 Quartos e 5 banheiros à Venda, 380 m² por R$ 2.800.000","Ponta Negra, Natal - RN",,380m²,5 banheiros     ,4 suítes,8 vagas,R$ 2.800.000
"Casa de Condomínio com 5 Quartos e 7 banheiros à Venda, 420 m² por R$ 4.000.000","Rua Doutor Múcio Villar Ribeiro Dantas - Ponta Negra, Natal - RN",R$ 874,420m²,7 banheiros     ,5 suítes,3 vagas,R$ 4.000.000
"Casa com 3 Quartos e 4 banheiros à Venda, 212 m² por R$ 650.000","Rua Historiador Francisco Fausto de Souza, 600 - Capim Macio, Natal - RN",,212m²,4 banheiros     ,3 suítes,4 vagas,R$ 650.000
"Apartamento com 3 Quartos e 1 banheiro à Venda, 300 m² por R$ 800.000","Rua Desembargador Dionísio Filgueira, 797 - Petrópolis, Natal - RN",Não informado,300m²,1 banheiro     ,3 suítes,3 vagas,R$ 800.000
"Apartamento com 3 Quartos e 2 banheiros à Venda, 88 m² por R$ 559.498","Rua Almirante Tértius Rebelo, 100 - Lagoa Nova, Natal - RN",Não informado,88m²,2 banheiros     ,1 suíte,2 vagas,R$ 559.498
"Apartamento com 2 Quartos e 2 banheiros à Venda, 55 m² por R$ 270.000","Avenida dos Caiapós, 121 - Pitimbu, Natal - RN",R$ 320,55m²,2 banheiros     ,1 suíte,1 vaga,R$ 270.000
"Casa com 3 Quartos e 3 banheiros à Venda, 190 m² por R$ 600.000","Lagoa Nova, Natal - RN",,190m²,3 banheiros     ,3 suítes,2 vagas,R$ 600.000
"Apartamento com 3 Quartos e 5 banheiros à Venda, 204 m² por R$ 800.000","Tirol, Natal - RN",R$ 1.300,204m²,5 banheiros     ,3 suítes,2 vagas,R$ 800.000
"Apartamento com 2 Quartos e 1 banheiro à Venda, 49 m² por R$ 115.000","Avenida dos Caiapós, 1004 - Pitimbu, Natal - RN",R$ 250,49m²,1 banheiro,,1 vaga,R$ 115.000
"Apartamento com 3 Quartos e 4 banheiros à Venda, 127 m² por R$ 810.000","Rua Padre João Damasceno, 1492 - Lagoa Nova, Natal - RN",R$ 600,127m²,4 banheiros     ,3 suítes,2 vagas,R$ 810.000
"Apartamento com 3 Quartos e 2 banheiros à Venda, 70 m² por R$ 165.000","Rua Coronel Auris Coelho, 970 - Lagoa Nova, Natal - RN",R$ 430,70m²,2 banheiros,,2 vagas,R$ 165.000
"Casa com 2 Quartos e 1 banheiro à Venda, 50 m² por R$ 79.900","Rua Teotônio Freire, 22 - Ribeira, Natal - RN",,50m²,1 banheiro,,Não informado Solicitar,R$ 79.900
"Apartamento com 3 Quartos e 2 banheiros à Venda, 98 m² por R$ 598.000","Rua Desembargador Túlio Bezerra de Melo - Candelária, Natal - RN",R$ 450,98m²,2 banheiros     ,1 suíte,2 vagas,R$ 598.000
"Apartamento com 2 Quartos e 2 banheiros à Venda, 57 m² por R$ 265.000","Rua das Perdizes, 7979 - Pitimbu, Natal - RN",R$ 420,57m²,2 banheiros     ,1 suíte,1 vaga,R$ 265.000
"Apartamento com 3 Quartos e 3 banheiros à Venda, 119 m² por R$ 800.000","Lagoa Nova, Natal - RN",Não informado,119m²,3 banheiros     ,3 suítes,2 vagas,R$ 800.000
"Apartamento com 3 Quartos e 2 banheiros à Venda, 140 m² por R$ 890.000","Rua Meira Brandão, 646 - Barro Vermelho, Natal - RN",R$ 1.022,140m²,2 banheiros     ,3 suítes,2 vagas,R$ 890.000
"Apartamento com 3 Quartos e 3 banheiros à Venda, 105 m² por R$ 762.000","Rua Capitão Abdon Nunes - Tirol, Natal - RN",R$ 921,105m²,3 banheiros     ,1 suíte,2 vagas,R$ 762.000
"Casa de Condomínio com 2 Quartos e 3 banheiros à Venda, 97 m² por R$ 438.300","Rua da Campina, 86 - Ponta Negra, Natal - RN",Não informado,97m²,3 banheiros     ,2 suítes,1 vaga,R$ 438.300
"Apartamento com 2 Quartos e 1 banheiro à Venda, 52 m² por R$ 289.000","Avenida Deputado Antônio Florêncio de Queiroz - Ponta Negra, Natal - RN",R$ 290,52m²,1 banheiro,,1 vaga,R$ 289.000
"Casa com 3 Quartos e 4 banheiros à Venda, 114 m² por R$ 699.500","Avenida Deputado Gastão Mariz de Faria, 415 - Ponta Negra, Natal - RN",R$ 430,114m²,4 banheiros     ,3 suítes,2 vagas,R$ 699.500
"Apartamento com 2 Quartos e 1 banheiro à Venda, 47 m² por R$ 100.000","Rua Mira Mangue, 1041 - Planalto, Natal - RN",Não informado,47m²,1 banheiro,,1 vaga,R$ 100.000
"Apartamento com 3 Quartos e 2 banheiros à Venda, 74 m² por R$ 220.000","Rua Júlio Gomes Moreira, 1296 - Barro Vermelho, Natal - RN",R$ 605,74m²,2 banheiros     ,1 suíte,1 vaga,R$ 220.000
"Lote/Terreno à Venda, 650 m² por R$ 620.000","Rua Júlio César de Andrade, 75 - Ponta Negra, Natal - RN",Não informado,650m²,Não informado Solicitar,,Não informado Solicitar,R$ 620.000
"Apartamento com 3 Quartos e 5 banheiros à Venda, 176 m² por R$ 980.000","Rua Desembargador Túlio Bezerra de Melo - Candelária, Natal - RN",R$ 1.300,176m²,5 banheiros,,Não informado Solicitar,R$ 980.000
"Apartamento com 3 Quartos e 2 banheiros à Venda, 79 m² por R$ 195.000","Rua Alcindo Dias de Oliveira, 123 - Capim Macio, Natal - RN",Não informado,79m²,2 banheiros     ,1 suíte,1 vaga,R$ 195.000
"Apartamento com 3 Quartos e 3 banheiros à Venda, 75 m² por R$ 490.000","Rua Jornalista Francisco Sinedino, 535 - Lagoa Nova, Natal - RN",R$ 480,75m²,3 banheiros     ,1 suíte,2 vagas,R$ 490.000
"Apartamento com 3 Quartos e 4 banheiros à Venda, 145 m² por R$ 1.450.000","Tirol, Natal - RN",R$ 1.008,145m²,4 banheiros     ,3 suítes,3 vagas,R$ 1.450.000
"Apartamento com 4 Quartos e 3 banheiros à Venda, 117 m² por R$ 395.000","Avenida Amintas Barros, 53 - Lagoa Nova, Natal - RN",R$ 1.020,117m²,3 banheiros     ,2 suítes,2 vagas,R$ 395.000
"Apartamento com 4 Quartos e 4 banheiros à Venda, 450 m² por R$ 2.950.000","Avenida Presidente Getúlio Vargas - Petrópolis, Natal - RN",R$ 3.325,450m²,4 banheiros     ,3 suítes,4 vagas,R$ 2.950.000
"Prédio Comercial à Venda, 600 m² por R$ 820.000","Avenida Rio Branco, 0 - Cidade Alta, Natal - RN",Não informado,600m²,Não informado Solicitar,,Não informado Solicitar,R$ 820.000
"Casa de Condomínio com 3 Quartos e 2 banheiros à Venda, 96 m² por R$ 480.000","Travessa Ayrton Senna, 1440 - Capim Macio, Natal - RN",Não informado,96m²,2 banheiros     ,1 suíte,2 vagas,R$ 480.000
"Casa com 5 Quartos e 4 banheiros à Venda, 360 m² por R$ 499.000","Rua Desembargador Sinval Moreira Dias, 1892 - Lagoa Nova, Natal - RN",Não informado,360m²,4 banheiros     ,4 suítes,3 vagas,R$ 499.000
"Apartamento com 2 Quartos e 2 banheiros à Venda, 53 m² por R$ 97.000","Rua Jardim do Éden, 268 - Planalto, Natal - RN",R$ 245,53m²,2 banheiros     ,1 suíte,1 vaga,R$ 97.000
"Casa de Condomínio com 4 Quartos e 6 banheiros à Venda, 408 m² por R$ 1.600.000","Rua Júlio César de Andrade, 300 - Ponta Negra, Natal - RN",R$ 1.094,408m²,6 banheiros     ,4 suítes,8 vagas,R$ 1.600.000
"Apartamento com 2 Quartos e 2 banheiros à Venda, 56 m² por R$ 500.000","Avenida Engenheiro Roberto Freire, 4896 - Ponta Negra, Natal - RN",R$ 540,56m²,2 banheiros     ,1 suíte,1 vaga,R$ 500.000
"Flat com 1 Quarto e 1 banheiro à Venda, 42 m² por R$ 200.000","Ponta Negra, Natal - RN",R$ 300,42m²,1 banheiro,,1 vaga,R$ 200.000
"Apartamento com 4 Quartos e 5 banheiros à Venda, 449 m² por R$ 3.200.000","Avenida Presidente Getúlio Vargas, 766 - Petrópolis, Natal - RN",R$ 2.500,449m²,5 banheiros     ,4 suítes,4 vagas,R$ 3.200.000
"Apartamento com 3 Quartos e 2 banheiros à Venda, 75 m² por R$ 349.900","Rua Amaro Mesquita, 1670 - Lagoa Nova, Natal - RN",R$ 450,75m²,2 banheiros     ,1 suíte,1 vaga,R$ 349.900
"Casa com 5 Quartos e 5 banheiros à Venda, 360 m² por R$ 1.950.000","Rua dos Potiguares, 0 - Dix-sept Rosado, Natal - RN",R$ 730,360m²,5 banheiros     ,4 suítes,2 vagas,R$ 1.950.000
"Apartamento com 2 Quartos e 2 banheiros à Venda, 56 m² por R$ 279.000","Rua Desembargador José Gomes da Costa, 1884 - Capim Macio, Natal - RN",Não informado,56m²,2 banheiros     ,1 suíte,2 vagas,R$ 279.000
